Unit	Qtype	Qpart	Qnum	FillPatt	Pattern	ModF1	ModF2	ModF3	Rules	ModPrompt	Comment	Orig_Pattern	Orig_ModF1	Orig_ModF2
10	CONV	2	3	5	Ich möchte die Lampe kaufen. Ich habe kein Geld.				coco					
10	CONV	2	4	5	Sie können eine Taxi nehmen. Sie können mit Ihrem Wagen fahren.				coco			Sie können eine Taxe nehmen. Sie können mit Ihrem Wagen fahren.		
10	CONV	2	5	5	Nehmen Sie Rumpsteak? Essen Sie lieber Kalbsleber?				coco					
10	CONV	2	6	5	Der Vizekonsul gibt ihr ein Formular. Sie füllt es aus.				coco					
10	CONV	2	7	5	Meine Frau hat Appetit auf Bratwurst mit Sauerkraut. Ich esse lieber Forelle blau.				coco					
10	CONV	2	8	5	Herr Becker nimmt den Hörer ab. Die Sekretärin meldet sich.				coco					
10	CONV	3	1	5	Wann zieht Herr Becker ein?				order.sub.qw					
10	CONV	3	2	5	Wann kommt Herr Becker an?				order.sub.qw					
10	CONV	3	3	5	Wen ruft Herr Beckter an?				order.sub.qw					
10	CONV	3	4	5	Wie viel gibt Herr Becker aus?				order.sub.qw			Wieviel gibt Herr Becker aus?		
10	CONV	3	5	5	Warum fährt Herr Becker ab?				order.sub.qw					
10	CONV	3	6	5	Was füllt Herr Becker gerade aus?				order.sub.qw					
10	CONV	3	7	5	Wen holt Herr Becker ab?				order.sub.qw					
10	CONV	3	8	5	Was packt Herr Becker ein?				order.sub.qw					
10	CONV	3	9	5	Mit wem macht Herr Becker die Herren bekannt?				order.sub.qw					
10	CONV	4	1	5	Bei wem klingelt Herr Meyer?				order.sub.qw					
10	CONV	4	2	5	Mit wem spricht Herr Meyer?				order.sub.qw					
10	CONV	4	3	5	Auf was freut sich Herr Meyer?				order.sub.qw					
10	CONV	4	4	5	An wen schreibt Herr Meyer?				order.sub.qw					
10	CONV	4	5	5	Zu wem geht Herr Meyer?				order.sub.qw					
10	CONV	4	6	5	Mit wem spricht Herr Meyer?				order.sub.qw					
10	CONV	4	7	5	Neben wem wohnt Herr Meyer?				order.sub.qw					
11	SUB		1	2	Ich muss {F1} in die Stadt fahren.				time.heute	E				
11	SUB		2	2	Hoffentlich verpassen wir {F1} nicht.				der.acc					
11	SUB		3	2	Er lässt {F1}.				der.acc					
11	SUB		4	2	Ich will {F1} reinigen lassen.				ein.adj.acc					
11	SUB		5	2	Nimm doch bitte auch {F1} mit.				einder.adj.acc					
11	SUB		6	2	Beeil' dich, damit du {F1}.				der.accdat					
11	SUB		7	2	Ich gebe dir noch Geld, damit du {F1} kannst.				der.accdat					
11	SUB		8	2	Es handelt sich um {F1}.				der.accdat					
11	SUB		9	2	Passt es {F1}, wenn wir um acht vorbeikommen?				pro.dat					
11	SUB		10	2	Ich hoffe, du {F1}.				order.sep	E				
11	SUB		11	2	Herr Becker holt {F1} um fünf Uhr ab.				pro.acc					
11	SUB		12	2	Ich möchte {F1} sprechen.				noun.acc					
11	SUB		13	2	Ich will jetzt {F1} lassen.				der.acc					
11	SUB		14	2	Ein Herr {F1} möchte Sie sprechen.				der.dat					
11	SUB		15	2	{F2} {F1} die Hände?	er sich	Wäscht		vcon.waschen					
11	SUB		16	2	Ich hole dich um zwei {F1} ab.				der.dat					
11	SUB		17	2	{F1} die Haare schneiden lassen.	Du musst dir			vcon.muessen					
11	CONV	1	1	6	Kommt er um fünf nach Hause?				vc.du.ihr					
11	CONV	1	2	6	Geht er heute Nachmittag zum Schuster?				vc.du.ihr			Geht er heute nachmittag zum Schuster?		
11	CONV	1	3	6	Bestellt er die Bücher bald?				vc.du.ihr					
11	CONV	1	4	6	Verschläft er sich oft?				vc.du.ihr					
11	CONV	1	5	6	Kämmt er sich öfters die Haare?				vc.du.ihr					
11	CONV	1	6	6	Diktiert er gewöhnlich so schnell				vc.du.ihr					
11	CONV	1	7	6	Fährt er mittags meistens nach Hause?				vc.du.ihr					
11	CONV	1	8	6	Läuft er immer so langsam?				vc.du.ihr					
11	CONV	1	9	6	Vergisst er die Briefe auch nicht?				vc.du.ihr					
11	CONV	1	10	6	Will er den Vortrag halten?				vc.du.ihr					
11	CONV	1	11	6	Wohnt er in der Stadt oder im Vorort?				vc.du.ihr					
11	CONV	1	12	6	Wäscht er seine Wäsche selbst oder bringt er sie in die Wäscherei?				vc.du.ihr					
11	CONV	1	13	6	Zieht er in die Stadt?				vc.du.ihr					
11	CONV	1	14	6	Wechselt er das Geld in der Bank?				vc.du.ihr					
11	CONV	1	15	6	Vermietet er eins seiner Zimmer?				vc.du.ihr					
11	CONV	1	16	6	Tut er das gern?				vc.du.ihr					
11	CONV	1	17	6	Trifft er sie immer auf dem Nachhauseweg?				vc.du.ihr					
11	CONV	1	18	6	Trägt er heute seinen neuen Anzug?				vc.du.ihr					
11	CONV	1	19	6	Steht er schon lange da?				vc.du.ihr					
11	CONV	1	20	6	Sitzt er gern in diesem Sessel?				vc.du.ihr					
11	CONV	1	21	6	Setzt er sich wieder an diesen Tisch?				vc.du.ihr					
11	CONV	1	22	6	Schreibt er einen anderen Artikel?				vc.du.ihr					
11	CONV	1	23	6	Nimmt er wieder Kalbsleber mit Kartoffelpüree?				vc.du.ihr					
11	CONV	1	24	6	Mietet er die Wohnung in der Schubertstraße?				vc.du.ihr			Mietet er die Wohnung in der Schubertstrasse?		
11	CONV	1	25	6	Legt er die Briefe immer auf den Schreibtisch?				vc.du.ihr					
11	CONV	1	26	6	Leiht er uns die Maus?				vc.du.ihr			Leiht er uns die Schreibmaschine?		
11	CONV	1	27	6	Lebt er schon lange in Deutschland?				vc.du.ihr					
11	CONV	1	28	6	Kennt er den Uhrmacher gut?				vc.du.ihr					
11	CONV	1	29	6	Kauft er seine Anzüge im Herrenkonfektionsgeschäft?				vc.du.ihr					
11	CONV	1	30	6	Hört er die Nachrichten um sieben oder um acht?				vc.du.ihr					
11	CONV	1	31	6	Holt er heute seine Eltern ab?				vc.du.ihr					
11	CONV	1	32	6	Hilft er beim Einrichten?				vc.du.ihr					
11	CONV	1	33	6	Heißt er Bauer oder Brauer?				vc.du.ihr			Heisst er Bauer oder Brauer?		
11	CONV	1	34	6	Hält er vor dem Hotel?				vc.du.ihr					
11	CONV	1	35	6	Hat er die Unterlagen bei sich?				vc.du.ihr					
11	CONV	1	36	6	Gibt er ihm ein Frühstücksbrot?				vc.du.ihr					
11	CONV	1	37	6	Findet er den Artikel?				vc.du.ihr					
11	CONV	1	38	6	Isst er abends gewöhnlich warm?				vc.du.ihr					
11	CONV	1	39	6	Denkt er, dass es in Deutschland kälter ist als hier?				vc.du.ihr					
11	CONV	1	40	6	Braucht er ein neues Auto?				vc.du.ihr					
11	CONV	2	1	6	Zeigen Sie mir bitte Ihr Gepäck.				imp.du.ihr					
11	CONV	2	2	6	Gehen Sie hier durch den Park.				imp.du.ihr					
11	CONV	2	3	6	Kommen Sie doch mal am nächsten Sonntag zu uns.				imp.du.ihr					
11	CONV	2	4	6	Entschuldigen Sie, dass ich störe.				imp.du.ihr					
11	CONV	2	5	6	Sehen Sie mal diese dunklen Wolken am Himmel.				imp.du.ihr					
11	CONV	2	6	6	Sagen Sie ihm doch bitte, er möchte mich anrufen.				imp.du.ihr					
11	CONV	2	7	6	Bringen Sie bitte die Wäsche in die Wäscherei.				imp.du.ihr					
11	CONV	2	8	6	Kommen Sie doch bitte nicht zu spät.				imp.du.ihr					
11	CONV	2	9	6	Bleiben Sie bitte noch eine Stunde hier.				imp.du.ihr					
11	CONV	2	10	6	Lesen Sie doch mal diesen Artikel.				imp.du.ihr					
11	CONV	3	1	5	Professor Albers hält heute den Vortrag.				order.sub					
11	CONV	3	2	5	Sie ist beim Frisör.				order.sub					
11	CONV	3	3	5	Die Schuhe sind beim Schuster.				order.sub					
11	CONV	3	4	5	Er sitzt am Frühstückstisch.				order.sub					
11	CONV	3	5	5	Die Hemden sind noch in der Wäscherei.				order.sub					
11	CONV	3	6	5	Beckers vermieten ihr Haus.				order.sub					
11	CONV	3	7	5	Die Besprechung findet heute nicht statt.				order.sub					
11	CONV	3	8	5	Unser Auto ist noch in der Reparaturwerkstatt.				order.sub					
11	CONV	4	1	5	Wann will er sich die Haare schneiden lassen?				order.sub.qw					
11	CONV	4	2	5	Wo kann ich mir die Schuhe besohlen lassen?				order.sub.qw					
11	CONV	4	3	5	Wo soll ich den Anzug reinigen lassen?				order.sub.qw					
11	CONV	4	4	5	Warum möchte er den Artikel übersetzen lassen?				order.sub.qw					
11	CONV	4	5	5	Wo können wir uns die Sachen einpacken lassen?				order.sub.qw					
11	CONV	4	6	5	Wo willst du die Hemden waschen lassen?				order.sub.qw					
11	CONV	4	7	5	Muss ich mich vorstellen lassen?				order.sub.qw					
11	CONV	4	8	5	Wann darf ich deine Eltern abholen lassen?				order.sub.qw					
11	CONV	4	9	5	Wen muss ich nach Hause bringen lassen?				order.sub.qw					
11	CONV	4	10	5	Was soll ich Herrn Becker ausrichten lassen?				order.sub.qw					
12	SUB		1	2	Das habe ich {F1}.				vc.pastp					
12	SUB		2	2	Meyers sind vorige Woche {F1}.				vc.pastp					
12	SUB		3	1	Wie hat Ihnen {F1} gefallen?				der.nom					
12	SUB		4	2	{F1} {F2} seekrank gewesen.		ist/sind/bin		spec.nom					
12	SUB		5	2	Ich habe Sie gestern {F1} gesehen.				der.dat					
12	SUB		6	2	Wir sind erst {F1} angekommen.				time.pt					
12	SUB		7	2	Wir wohnen schon {F1} in einem Zweifamilienhaus im Süden der Stadt.				time.dur					
12	SUB		8	2	Sie wohnen seit {F1} in München.				seit.dur					
12	SUB		9	2	Die Berliner Philharmoniker geben in {F1} ein Konzert.				time.dur					
12	SUB		10	2	Ich bin {F1} dort geblieben.				time.dur					
12	SUB		11	2	Er arbeitet schon seit {F1} in Frankfurt.				seit.dur					
12	SUB		12	2	Wir wohnen schon {F1} hier.				time.dur					
12	SUB		13	2	Ich bin erst {F1} in Hamburg.				time.dur					
12	SUB		14	2	Ich habe sie neulich {F1}.				vc.pastp					
12	SUB		15	2	Ich habe {F1}, dass Sie ein guter Tennisspieler sind.				vc.pastp					
12	SUB		16	2	Ich bin erst seit {F1} hier.				seit.dur					
12	SUB		17	1	Ist das da drüben nicht {F1}?				der.nom					
12	CONV		1	5	Wann haben Sie das Geld ab?				vc.pastp					
12	CONV		2	5	Er bietet ihr ein Glass Moselwein an.				vc.pastp					
12	CONV		3	5	Wann fangen Sie an?				vc.pastp					
12	CONV		4	5	Die Sekretärin meldet das Gespräch an.				vc.pastp					
12	CONV		5	5	Sie probiert die braune Jacke an.				vc.pastp					
12	CONV		6	5	Das können wir uns nicht leisten.				vc.pastp					
12	CONV		7	5	Er zieht sich ein sauberes Oberhemd an.				vc.pastp					
12	CONV		8	5	Wo arbeitet sie?				vc.pastp					
12	CONV		9	5	Ich esse oft in diesem Restaurant.				vc.pastp					
12	CONV		10	5	Was richten Sie ihm aus?				vc.pastp					
12	CONV		11	5	Sie wandert nach Amerika aus.				vc.pastp					
12	CONV		12	5	Stellst du dich heute für die Karten an?				vc.pastp					
12	CONV		13	5	Ich beantrage ein Visum.				vc.pastp					
12	CONV		14	5	Hoffentlich beeilt er sich.				vc.pastp					
12	CONV		15	5	Er erkundigt sich beim Arbeitsamt.				vc.pastp					
12	CONV		16	5	Sie macht ihn mit Dr. Becker bekannt.				vc.pastp					
12	CONV		17	5	Bekommt ihr heute die Pässe?				vc.pastp					
12	CONV		18	5	Wann besuchen Sie ihre Tochter?				vc.pastp					
12	CONV		19	5	Bezahlst du heute die Miete?				vc.pastp					
12	CONV		20	5	Wie lange bleibt ihr in München?				vc.pastp					
12	CONV		21	5	Die Männer tragen die Kisten in den Keller.				vc.pastp					
12	CONV		22	5	Sie bringt ihm die Ansichtskarten.				vc.pastp					
12	CONV		23	5	Er buchstabiert seinen Namen.				vc.pastp					
12	CONV		24	5	In dieser Tankstelle lasse ich die Reifen wechseln.				vc.pastp					
12	CONV		25	5	Wo geht ihr heute hin?				vc.pastp					
12	CONV		26	5	Musst du noch zur Apotheke gehen?				vc.pastp					
12	CONV		27	5	Wann richtest du dein Zimmer ein?				vc.pastp					
12	CONV		28	5	Die Sonne scheint den ganzen Tag.				vc.pastp					
12	CONV		29	5	Wann fährt er nach Deutschland?				vc.pastp					
12	CONV		30	5	Hoffentlich finden Sie die Zollbestimmungen.				vc.pastp					
12	CONV		31	5	Der Frisör schneidet ihm die Haare.				vc.pastp					
12	CONV		32	5	Sie freut sich auf seinen Besuch.				vc.pastp					
12	CONV		33	5	Gehen Sie heute in die Stadt?				vc.pastp					
12	CONV		34	5	Das Buch gefällt ihr nicht.				vc.pastp					
12	CONV		35	5	Sie geben ihm den Artikel, nicht wahr?				vc.pastp					
12	CONV		36	5	Können Sie sich an unser Klima gewöhnen?				vc.pastp					
12	CONV		37	5	Hat er das Buch?				vc.pastp					
12	CONV		38	5	Hilft Ihnen Frau Meyer beim Einrichten?				vc.pastp					
12	CONV		39	5	Sie holt gerade die Schuhe ab.				vc.pastp					
12	CONV		40	5	Ich bearbeite seinen Antrag.				vc.pastp					
12	CONV		41	5	Kennen Sie Herrn Becker?				vc.pastp					
12	CONV		42	5	Der Generalkonsul kommt heute.				vc.pastp					
12	CONV		43	5	Er wechselt das Geld in der Bank.				vc.pastp					
12	CONV		44	5	Ich leihe dir das Buch.				vc.pastp					
12	CONV		45	5	Er liest gerade den Artikel in der Zeitung.				vc.pastp					
12	CONV		46	5	Der Ausweis liegt auf seinem Schreibtisch.				vc.pastp					
12	CONV		47	5	Nehmen Sie die Formulare mit?				vc.pastp					
12	CONV		48	5	Schreibst du heute den Brief?				vc.pastp					
12	CONV		49	5	Wir sitzen meistens an diesem Tisch.				vc.pastp					
12	CONV		50	5	Er spricht sehr langsam.				vc.pastp					
12	CONV		51	5	Er gibt sich immer große Mühe.				vc.pastp			Er gibt sich immer grosse Mühe.		
12	CONV		52	5	Das tue ich gern für Sie.				vc.pastp					
12	CONV		53	5	Versteht ihr ihn gut?				vc.pastp					
12	CONV		54	5	Wo studierst du?				vc.pastp					
12	CONV		55	5	Ihr kommt wieder zu spät!				vc.pastp					
12	CONV		56	5	Er kümmert sich nicht um sie.				vc.pastp					
12	CONV		57	5	Wäscht er sich die Hände?				vc.pastp					
12	CONV		58	5	Du übersetzt doch diesen Artikel, nicht wahr?				vc.pastp					
12	CONV		59	5	Ihr verschlaft euch fast jeden Tag.				vc.pastp					
12	CONV		60	5	Der Redakteur unterhält sich gerade mit dem Landrat.				vc.pastp					
13	CONV	2	1.1	5	Er ist heute in der Stadt				vc.past					
13	CONV	2	1.2	5	Ich bin um fünf Uhr bei Ihnen gewesen				vc.fut					
13	CONV	2	2.1	5	Ich habe leider keine Zigaretten bei mir.				vc.past					
13	CONV	2	2.2	5	Er hat keine Zeit gehabt.				vc.fut					
13	CONV	2	3.1	5	Sie weiß auch nicht, wann er kommt.				vc.past			Sie weiss auch nicht, wann er kommt.		
13	CONV	2	3.2	5	Sie hat es gewusst.				vc.fut					
13	CONV	2	4.1	5	Die Bilder gefallen mir gut.				vc.past					
13	CONV	2	4.2	5	Der Film hat den Kindern gut gefallen.				vc.fut					
13	CONV	2	5.1	5	Wir bringen sie zum Hotel.				vc.past					
13	CONV	2	5.2	5	Die Sekretärin hat Ihnen die Unterlagen gebracht.				vc.fut					
13	CONV	2	6.1	5	Ich lese gerade einen langen Bericht.				vc.past					
13	CONV	2	6.2	5	Ich habe den Artikel gelesen.				vc.fut					
13	CONV	2	7.1	5	Ich komme kurz vor acht bei dir vorbei.				vc.past					
13	CONV	2	7.2	5	Wann ist sie nach Berlin gekommen?				vc.fut					
13	CONV	2	8.1	5	Er nimmt den deutschen Fotoapparat.				vc.past			Er nimmt den deutschen Photoapparat.		
13	CONV	2	8.2	5	Ich habe den grauen Anzug genommen.				vc.fut					
13	CONV	2	9.1	5	Er geht um neun Uhr ins Büro.				vc.past					
13	CONV	2	9.2	5	Bist du oft ins Theater gegangen?				vc.fut					
13	CONV	2	10.1	5	Heute machen wir eine Bergtour.				vc.past					
13	CONV	2	10.2	5	Was haben Sie denn heute in der Stadt gemacht?				vc.fut					
13	CONV	2	11.1	5	Herr Schreiner fährt nach Deutschland.				vc.past					
13	CONV	2	11.2	5	Der Gewerkschaftsekretär ist zur Konferenz nach Washinton gefahren.				vc.fut					
13	CONV	2	12.1	5	Herr und Frau Bergmann sehen sich die neuen Häuser an.				vc.past					
13	CONV	2	12.2	5	Ich habe mir die Ausstellung angesehen.				vc.fut					
13	CONV	2	13.1	5	Ich höre, dass Sie in Bad Pyrmont waren.				vc.past					
13	CONV	2	13.2	5	Wir haben heute Mittag den Vortrag gehört.				vc.fut			Wir haben heute mittag den Vortrag gehört.		
13	CONV	2	14.1	5	Die Studenten geben sich große Mühe.				vc.past			Die Studenten geben sich grosse Mühe.		
13	CONV	2	14.2	5	Die Sekretärin hat ihm die Unterlagen gegeben.				vc.fut					
13	CONV	2	15.1	5	In der Zeitung steht heute ein ausführlicher Artikel darüber.				vc.past					
13	CONV	2	15.2	5	Wie lange hat der Wagen hier gestanden?				vc.fut					
13	CONV	2	16.1	5	Er verpasst wahrscheinlich den Omnibus.				vc.past					
13	CONV	2	16.2	5	Schade, dass ich das Konzert verpasst habe.				vc.fut					
13	CONV	2	17.1	5	Sie bedankt sich für die Bücher.				vc.past					
13	CONV	2	17.2	5	Ich habe mich für den Brief bedankt.				vc.fut					
13	CONV	2	18.1	5	Frau Seiffert freut sich sehr auf die Oper.				vc.past					
13	CONV	2	18.2	5	Meine Frau hat sich sehr über den Brief gefreut.				vc.fut					
13	CONV	2	19.1	5	Frau Becker ruft ihre Bekannten an.				vc.past					
13	CONV	2	19.2	5	Ich habe Sie heute Mittag angerufen.				vc.fut			Ich habe Sie heute mittag angerufen.		
13	CONV	2	20.1	5	Diese modernen Möbel gefallen uns nicht.				vc.past					
13	CONV	2	20.2	5	Es hat ihm in Berlin gut gefallen.				vc.fut					
13	CONV	2	21.1	5	Herr Walter trifft einen Bekannten.				vc.past					
13	CONV	2	21.2	5	Er hat sie in der Stadt getroffen.				vc.fut					
13	CONV	2	22.1	5	Der Sohn meiner Bekannten studiert in Marburg.				vc.past					
13	CONV	2	22.2	5	Mein Bruder hat im Ausland studiert.				vc.fut					
13	CONV	2	23.1	5	Ich muss heute ins Auswärtige Amt gehen.				vc.past					
13	CONV	2	23.2	5	Sie hat lange anstehen müssen.				vc.fut					
13	CONV	2	24.1	5	Er zeigt dem Generalkonsul den Bericht.				vc.past					
13	CONV	2	24.2	5	Ich habe ihm das Buch gezeigt.				vc.fut					
13	CONV	2	25.1	5	Sagen Sie mir bitte um was es sich handelt.				vc.past					
13	CONV	2	25.2	5	Ich weiß nicht, um was es sich gehandelt hat.				vc.fut			Ich weiss nicht, um was es sich gehandelt hat.		
13	CONV	2	26.1	5	Ich tue das gern für ihn.				vc.past					
13	CONV	2	26.2	5	Ich habe das gern für Sie getan.				vc.fut					
13	CONV	2	27.1	5	Herr Ullrich unterhält sich mit seiner Frau über die Ausstellung.				vc.past					
13	CONV	2	27.2	5	Ich habe mich mit ihm über die Reise unterhalten.				vc.fut					
15	SUB	1	1	2	Das wird oft {F1}.				vc.pass.pres					
15	SUB	1	2	2	Das ist {F1} worden.				vc.pass.pastp					
15	SUB	1	3	2	Das wird bald {F1} werden.				vc.pass.fut					
15	SUB	1	4	2	Das wurde {F1}.				vc.pass.past					
15	SUB	1	5	2	Das wird Anfang der Woche {F1}.				vc.pass.pres					
15	SUB	1	6	2	Das muss man {F1} haben.				vc.pastp.mod					
15	SUB	1	7	2	Er ist gerade {F1}.				vc.pastp					
15	SUB	1	8	2	Das haben wir nicht {F1}.				vc.pastp					
15	SUB	1	9	2	Wie hat man das {F1}?				vc.pastp					
15	SUB	1	10	2	Wir sind oft dorthin {F1}.				vc.pastp					
15	SUB	1	11	2	Man hat das schon {F1}.				vc.pastp					
15	SUB	2	1	2	Haben wir Zeit für {F1}?				ein.adj.acc					
15	SUB	2	2	2	Das ist ja {F1}.				ein.adj.nom					
15	SUB	2	3	2	Gestern habe ich einen ersten Eindruck {F1} bekommen.				der.dat					
15	SUB	2	4	2	Ich bekam {F1} von ihm.				ein.adj.acc					
15	SUB	2	5	2	Das war {F1}.				ein.adj.nom					
15	SUB	2	6	2	Er sprach von {F1}.				ein.adj.dat					
15	SUB	2	7	2	Ich habe mehrere bekannte {F1} besucht.				spec.adj.acc					
15	SUB	2	8	2	Er erzählte mir, dass es dort viele {F1} gibt.				spec.adj.acc					
15	SUB	2	9	2	Ich vermute, Sie verwechseln dieses Gebäude mit {F1}.				der.dat					
15	SUB	2	10	2	{F1} ist von einem bekannten Architekten entworfen worden.				der.nom					
15	SUB	2	11	2	Er sprach von verschiedenen {F1}.				unp.adj.dat					
15	SUB	2	12	2	Ich habe mir mehrere {F1} angesehen.				spec.acc					
15	CONV	1	1.1	5	Er schreibt den Brief				vc.pass.pres					
15	CONV	1	1.2	5	Er hat den Brief geschrieben.				vc.pass.pastp					
15	CONV	1	1.3	5	Er schrieb den Brief.				vc.pass.past					
15	CONV	1	1.4	5	Er wird den Brief schreiben.				vc.pass.fut					
15	CONV	1	2.1	5	Er putzt die Schuhe.				vc.pass.pres					
15	CONV	1	2.2	5	Er hat die Schuhe geputzt.				vc.pass.pastp					
15	CONV	1	2.3	5	Er putzte die Schuhe.				vc.pass.past					
15	CONV	1	2.4	5	Er wird die Schuhe putzen.				vc.pass.fut					
15	CONV	1	3.1	5	Sie schreibt den Brief.				vc.pass.pres					
15	CONV	1	3.2	5	Sie hat den Brief geschrieben.				vc.pass.pastp					
15	CONV	1	3.3	5	Sie schrieb den Brief.				vc.pass.past					
15	CONV	1	3.4	5	Sie wird den Brief schreiben.				vc.pass.fut					
15	CONV	1	4.1	5	Herr Schmidt füllt den Meldeschein aus.				vc.pass.pres					
15	CONV	1	4.2	5	Herr Schmidt hat den Meldeschein ausgefüllt.				vc.pass.pastp					
15	CONV	1	4.3	5	Herr Schmidt füllte den Meldeschein aus.				vc.pass.past					
15	CONV	1	4.4	5	Herr Schmidt wird den Meldeschein ausfüllen.				vc.pass.fut					
15	CONV	1	5.1	5	Sie besichtigen die Tagungsräume.				vc.pass.pres					
15	CONV	1	5.2	5	Sie haben die Tagungsräume besichtigt.				vc.pass.pastp					
15	CONV	1	5.3	5	Sie besichtigten die Tagungsräume.				vc.pass.past					
15	CONV	1	5.4	5	Sie werden die Tagungsräume besichtigen.				vc.pass.fut					
15	CONV	1	6.1	5	Das Arbeitsamt bearbeitet den Antrag.				vc.pass.pres					
15	CONV	1	6.2	5	Das Arbeitsamt hat den Antrag bearbeitet.				vc.pass.pastp					
15	CONV	1	6.3	5	Das Arbeitsamt bearbeitete den Antrag.				vc.pass.past					
15	CONV	1	6.4	5	Das Arbeitsamt wird den Antrag bearbeiten.				vc.pass.fut					
15	CONV	1	7.1	5	Unsere Architekten entwerfen die neuen Bauten.				vc.pass.pres					
15	CONV	1	7.2	5	Unsere Architekten haben die neuen Bauten entworfen.				vc.pass.pastp					
15	CONV	1	7.3	5	Unsere Architekten entwarfen die neuen Bauten.				vc.pass.past					
15	CONV	1	7.4	5	Unsere Architekten werden die neuen Bauten entwerfen.				vc.pass.fut					
15	CONV	2	1	5	Der Betriebsleiter hat mich inzwischen angerufen.				vc.pass.pastp					
15	CONV	2	2	5	Die Sekretärin hat den Brief geschrieben.				vc.pass.pastp					
15	CONV	2	3	5	Herr Meyer hat den Artikel übersetzt.				vc.pass.pastp					
15	CONV	2	4	5	Professor Albers hat gestern den Vortrag gehalten.				vc.pass.pastp					
15	CONV	2	5	5	Hat Herr Müller die Arbeit erledigt?				vc.pass.pastp					
15	CONV	2	6	5	Das Hotel hat für Herrn Allen ein Zimmer reserviert.				vc.pass.pastp					
15	CONV	2	7	5	Meine Sekretärin hat die Fahrkarte gestern gelöst.				vc.pass.pastp					
15	CONV	2	8	5	Herr Meyer begleitete Herrn Allen zum Zug.				vc.pass.past					
15	CONV	2	9	5	Die Männer holten das beschädigte Auto ab.				vc.pass.past					
15	CONV	2	10	5	Herr Schneider brachte die Koffer zur Gepäckaufgabe.				vc.pass.past					
15	CONV	2	11	5	Frau Meyer bügelte den Anzug auf.				vc.pass.past					
15	CONV	2	12	5	Herr Schumann gab einen Bericht über neue Konzernbildungen und Kartellfragen.				vc.pass.past					
15	CONV	2	13	5	Der Gewerkschaftssekretär gab langatmige Erklärungen ab.				vc.pass.past					
15	CONV	2	14	5	Herr Martin rief Frau Köhler an.				vc.pass.past					
15	CONV	2	15	5	Sie verbindet mich mit dem Auswärtigen Amt.				vc.pass.pres					
15	CONV	2	16	5	Er probiert gerade den braunen Anzug an.				vc.pass.pres					
15	CONV	2	17	5	Der Konsul diktiert der Sekretärin einen Brief.				vc.pass.pres					
15	CONV	2	18	5	Herr und Frau Meyer packen gerade die Kisten aus.				vc.pass.pres					
15	CONV	2	19	5	Sie stellt das Radio an.				vc.pass.pres					
15	CONV	2	20	5	Der Gepäckträger trug den großen Koffer ins Abteil.				vc.pass.past			Der Gepäckträger trug den grossen Koffer ins Abteil.		
15	CONV	2	21	5	Wer hat den Anfang geschrieben?				vc.pass.pastp					
15	CONV	2	22	5	Ich begleite sie in die Stadt.				vc.pass.pres					
15	CONV	2	23	5	Der Page hat Ihr Gepäck auf Ihr Zimmer gebracht.				vc.pass.pastp					
15	CONV	2	24	5	Die ausländischen Architekten besichtigen heute das Reichstagsgebäude.				vc.pass.pres					
15	CONV	2	25	5	Im Hotel hat Herr Meyer die Schuhe vor die Zimmertür gestellt.				vc.pass.pastp					
15	CONV	3	1	5	Die zerstörten Gebäude werden wieder aufgebaut.				vc.pass.pres					
15	CONV	3	2	5	Die zerstörten Gebäude sind wieder aufgebaut worden.				vc.pass.pastp					
15	CONV	3	3	5	Die zerstörten Gebäude wurden wieder aufgebaut.				vc.pass.past					
15	CONV	3	4	5	Die zerstörten Gebäude werden wieder aufgebaut werden.				vc.pass.fut					
15	CONV	3	5	5	Die Bauausstellung ist schon am Anfang des Monats geschlossen worden.				vc.pass.pastp					
15	CONV	3	6	5	Die Lindenbäume wurden schon vor dem Kriege entfernt.				vc.pass.past					
15	CONV	3	7	5	Viele Architekten wurden zur Bauausstellung erwartet.				vc.pass.past					
15	CONV	3	8	5	Der Antrag wird bald bearbeitet werden.				vc.pass.fut					
15	CONV	3	9	5	Die großen Koffer sind zum Bahnhof gebracht worden.				vc.pass.pastp			Die grossen Koffer sind zum Bahnhof gebracht worden.		
15	CONV	3	10	5	Der Bericht ist in der Botschaft übersetzt worden.				vc.pass.pastp					
15	CONV	3	11	5	Die neuen Wohnungen werden jetzt vermietet.				vc.pass.pres					
15	CONV	3	12	5	Der Tisch am Fenster wurde für uns reserviert.				vc.pass.past					
15	CONV	3	13	5	Die Koffer sind in der Gepäckaufgabe verwechselt worden.				vc.pass.pastp					
15	CONV	3	14	5	Die Ausstellung wird bald geschlossen werden.				vc.pass.fut					
15	CONV	3	15	5	Der Brand ist zu spät gesehen worden.				vc.pass.pastp					
16	SUB		1	1	Das sind {F1}, {F2} Kellers so gut gefallen.		d-		rel.nom.nom					
16	SUB		2	1	Das ist {F1}, {F2} Herrn Meyer gehört.		d-		rel.nom.nom					
16	SUB		3	1	Ist das {F1}, {F2} du dir kauftest?		d-		rel.nom.acc					
16	SUB		4	1	{F1}, {F2} Sie mich baten, liegt auf Ihrem Schreibtisch.		um d-		rel.nom.acc					
16	SUB		5	1	{F1}, {F2} dieses Haus gehört, ist zur Zeit in Berlin.		d-		rel.nom.dat					
